Dup_Group,record_id,duplicate_id,author,title,abstract,doi,year,journal,volume,number,pages,isbn,label,source
2,1884,1884,Vollenweider F.X. and Vontobel P. and Hell D. and Leenders K.L.,5-HT modulation of dopamine release in basal ganglia in psilocybin-induced psychosis in Man - A PET study with [11C]raclopride,"The modulating effects of serotonin on dopamine neurotransmission are not well understood, particularly in acute psychotic states. Positron emission tomography was used to examine the effect of psilocybin on the in vivo binding of [11C]raclopride to D2-dopamine receptors in the striatum in healthy volunteers after placebo and a psychotomimetic dose of psilocybin (n = 7). Psilocybin is a potent indoleamine hallucinogen and a mixed 5-HT(2A) and 5-HT(1A) receptor agonist. Psilocybin administration (0.25 mg/kg p.o.) produced changes in mood, disturbances in thinking, illusions, elementary and complex visual hallucinations and impaired ego-functioning. Psilocybin significantly decreased [11C]raclopride receptor binding potential (BP) bilaterally in the caudate nucleus (19%) and putamen (20%) consistent with an increase in endogenous dopamine. Changes in [11C]raclopride BP in the ventral striatum correlated with depersonalization associated with euphoria. Together with previous reports of 5-HT receptor involvement in striatal dopamine release, it is concluded that stimulation of both 5-HT(2A) and 5-HT(1A) receptors may be important for the modulation of striatal dopamine release in acute psychoses. The present results indirectly support the hypothesis of a serotonin-dopamine dysbalance in schizophrenia and suggest that psilocybin is a valuable tool in the analysis of serotonin-dopamine interactions in acute psychotic states. Copyright (C) 1999 American College of Neuropsychopharmacology.",http://dx.doi.org/10.1016/S0893-133X%2898%2900108-0,1999,Neuropsychopharmacology,20,5,424-433,NA,NA,NA
2,2976,460,"Vollenweider, Franz X and Vontobel, Peter and Hell, Daniel and Leenders, Klaus L",5-HT modulation of dopamine release in basal ganglia in psilocybin-induced psychosis in man-A PET study with [11C]raclopride,"Used positron emission tomography to examine the effect of psilocybin on the in vivo binding of [11C]raclopride to D2-dopamine receptors in the striatum in 25-29 yr old volunteers after placebo and a psychotomimetic dose of psilocybin. Psilocybin is a potent indoleamine hallucinogen and a mixed 5-HT2= and 5-HT1= receptor agonist. Psilocybin administration produced changes in mood, disturbances in thinking, illusions, elementary and complex visual hallucinations and impaired ego-functioning. Psilocybin significantly decreased [11C]raclopride receptor binding potential (BP) bilaterally in the caudate nucleus and putamen consistent with an increase in endogenous dopamine. Changes in [11C]raclopride BP in the ventral striatum correlated with depersonalization associated with euphoria. Together with previous reports of 5-HT receptor involvement in striatal dopamine release, it is concluded that stimulation of both 5-HT2= and 5-HT1= receptors may be important for the modulation of striatal dopamine release in acute psychoses. The present results indirectly support the hypothesis of a serotonin-dopamine dysbalance in schizophrenia and suggest that psilocybin is a valuable tool in the analysis of serotonin-dopamine interactions in acute psychotic states. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/S0893-133X%2898%2900108-0 and http://dx.doi.org/10.1016/S0893-133X%2898%2900108-0,1999,Neuropsychopharmacology,20,5,424-433,NA,NA,NA
3,994,994,Carhart-Harris R,5-HT2A agonist drugs as new treatments in psychiatry,"Psilocybin is a non-selective serotonin receptor agonist that occurs naturally in certain mushroom species. Recent studies have assessed the therapeutic potential of psilocybin for a variety of conditions, including: end of life anxiety [1], obsessive compulsive disorder [2] and smoking [3] and alcohol dependence [4], with promising preliminary results. The present study aimed to investigate psilocybin's safety and efficacy in patients with unipolar treatment-resistant depression. In this open-label feasibility trial, 12 patients (6 females) with moderate to severe, unipolar, treatment-resistant major depression received two oral doses of psilocybin (10 mg and 25 mg, 7 days apart) in a supportive setting. Psychological support was provided before, during and after each session. Depressive symptoms were assessed with standard assessments from 1 week to 3 months posttreatment, with the QIDS-16 serving as the primary outcome. Treatment was well-tolerated by all of the patients. No unexpected and only a small number of minor adverse events were observed. Relative to baseline, depressive symptoms were markedly reduced 1 week (mean QIDS difference = -11.8, 95% CI, -5 to -17, Cohen's d = 3.4) and 3 months post-treatment (mean QIDS difference = -9.2, 95% CI, +3 to -17, Cohen's d = 2.3). Marked and sustained improvements in anxiety and anhedonia were also observed. This study provides preliminary support for the safety and efficacy of a novel intervention for treatment-resistant depression. It should motivate further trials, with more rigorous designs, to better examine the therapeutic potential of this approach.",NA,2016,"European neuropsychopharmacology. Conference: 29th european college of neuropsychopharmacology congress, ECNP",26,NA,S121-NA,NA,NA,NA
3,1819,433,Rabin R.A. and Regina M. and Doat M. and Winter J.C.,5-HT2A receptor-stimulated phosphoinositide hydrolysis in the stimulus effects of hallucinogens,"The role of 5-HT2A-mediated stimulation of phosphoinositide hydrolysis in the discriminative effects of hallucinogens was investigated in PC12 cells stably expressing the rat 5-HT2A receptor (PC12-5-HT2A cells). The hallucinogenic compounds, D-lysergic acid diethylamide (LSD), (-)2,5-dimethoxy-4-methylamphetamine (DOM), psilocybin, N,N-dimethyltryptamine (DMT), 5-methoxy-N,N-dimethyltryptamine (MDMT) and N,N-diethyltryptamine (DET), all caused a concentration-dependent increase in the generation of [3H]inositol phosphates. The nonhallucinogenic compounds, 6-fluoro-N,N-diethyltryptamine (6-F-DET), lisuride and quipazine, also displayed significant efficacy in stimulating phosphoinositide hydrolysis, while 2-bromo-lysergic acid diethylamide (BOL), which is not a hallucinogen, did not alter inositol phosphate generation. The beta-carbolines, harmaline and harmane, also did not alter phosphoinositide hydrolysis. Comparison of these results with previous drug discrimination studies indicated the apparent lack of correlation between the degree of substitution in LSD- and DOM-trained animals and efficacy in stimulating phosphoinositide hydrolysis. The present study indicates that 5-HT2A-mediated stimulation of phosphoinositide hydrolysis does not appear to be the sole critical signaling mechanism involved in the discriminative effects of hallucinogens. Â© 2002 Elsevier Science Inc. All rights reserved.",http://dx.doi.org/10.1016/S0091-3057%2801%2900720-1,2002,Pharmacol. Biochem. Behav,72,1-2,29-37,NA,NA,NA
10,611,611,"Stolk, J M and Barchas, J D and Goldstein, M and Boggan, W and Freedman, D X",A comparison of psychotomimetic drug effects on rat brain norepinephrine metabolism,NA,NA,1974,J Pharmacol Exp Ther,189,1,42-50,NA,NA,NA
10,3040,3040,"Stolk, Jon M and Barchas, J. D and Goldstein, M and Boggan, W and Freedman, D. X",A comparison of psychotomimetic drug effects on rat brain norepinephrine,"Studied the effects of LSD, psilocybin, mescaline, amphetamine, and cold water swimming stress on the metabolism of -sup-3H-norepinephrine (NE) in rat brain. Graded doses (130-1300 mug/kg) of LSD had no specific effects, suggesting that it has little direct activity on brain noradrenergic neurons. Psilocybin (25 mg/kg) had effects similar to those obtained with amphetamine (2 mg/kg), as evidenced by a prominent and sustained elevation in -sup-3H-normetanephrine content, a finding consistent with an increased release of NE from central nerve endings. Cold water swim stress resulted in a profound increase in -sup-3H-deaminated catechol metabolites, suggesting that the intracellular catabolism of NE was affected specifically. Mescaline (25 mg/kg) had a biphasic effect on NE metabolism. Shortly after injection, these Ss had a metabolite pattern similar to those of Ss exposed to cold water swimming; 90 min to 4 hrs after mescaline, however, -sup-3H-normetanephrine levels were elevated markedly. Mescaline appears to cause an initial increase in intracellular NE metabolism, followed by an enhanced release similar to the effects of amphetamine and psilocybin. Data indicate that these 3 psychotomimetic drugs share no single common effect on brain NE metabolism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",NA,1974,The Journal of Pharmacology and Experimental Therapeutics,189,1,42-50,NA,NA,NA
19,2798,2798,"Zamaria, Joseph A",A phenomenological examination of psilocybin use and its positive and persisting aftereffects,"This dissertation examined the positive and persisting aftereffects in eight individuals who consumed psilocybin-containing mushrooms. Mushrooms containing psilocybin have been used for healing and spiritual purposes for thousands of years, and the therapeutic applications of psilocybin were scientifically examined in the mid-20th century. Research from this era suggested that psilocybin was indicated as an effective adjunct to psychotherapy for conditions such as depression, anxiety, chemical dependency, and obsessive-compulsive disorder. After research into the therapeutic utility of psilocybin halted for several decades, it resumed in the early 2000s. Some recent research at the Johns Hopkins School of Medicine has suggested that participants who consumed psilocybin described having profoundly meaningful experiences, and that these participants experienced persisting and positive changes to their mood, attitude, and behavior at 1-month and 14-month follow up. However, there has not been any research examining the mechanism of the connection between participants' experience with psilocybin and the existence of these positive and persisting aftereffects. This study employed a phenomenological approach, using an unstructured interview to gain an understanding of participants' description of this mechanism. Eight adults were interviewed who reported using psilocybin in the past. A within-case analysis and cross-case analysis were conducted on the data, producing 11 themes within three categories: Set, which included the themes of Preliminary Anxiety and Substantial Preparation; Experience of Psilocybin Effect, which included the themes of Profound Shift in Attention, Unity Consciousness, Increased Introspection, Positive Emotional State, and Transcendental Experience; and Persisting Aftereffects, which included the themes of Short Term Reduction in Anxiety, Persisting Insight, Assistance with Psychological Distress, and Inspired Behavioral Change. It appears that using psilocybin for the purpose of psychological and spiritual growth and introspection allowed participants to experience themselves differently than in their normal state of consciousness, encouraging a deep and unique period of self-examination. Participants brought insights gained from their psilocybin experience into their lives, maintaining that awareness far beyond the course of the substance. This research suggests that the positive and persisting aftereffects of psilocybin may be useful and that these aftereffects should be studied further. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",NA,2015,Dissertation Abstracts International: Section B: The Sciences and Engineering,76,5-B(E),No-Specified,NA,NA,NA
19,1260,1260,Zamaria J.A.,A phenomenological examination of psilocybin and its positive and persisting aftereffects,"This study is an examination of the positive and persisting psychological and behavioral aftereffects in eight individuals who reported consumption of psilocybin-containing mushrooms. Mushrooms containing psilocybin have been used for healing and spiritual purposes for thousands of years, and the therapeutic applications of psilocybin were scientifically examined beginning in the mid-20th century. Research from this era suggested that psilocybin was indicated as an effective adjunct to psychotherapy for conditions such as depression, anxiety, chemical dependency, and obsessive-compulsive disorder. Recent research at the Johns Hopkins School of Medicine demonstrated that participants who consumed psilocybin reported having profoundly meaningful experiences, and that these participants experienced persisting and positive changes to their mood, attitude, and behavior at 1-month and 14-month follow up. However, there has not yet been ample research examining the mechanism of the connection between participants' experience with psilocybin and the existence of these positive and persisting aftereffects. This study employed a phenomenological approach, using an unstructured interview to gain an understanding of participants' description of this mechanism. Eight adults were interviewed who reported using psilocybin in the past. A within-case analysis and cross-case analysis were conducted on the data, producing 11 themes within three categories: Set (which included the themes of Preliminary Anxiety and Substantial Preparation); Experience of Psilocybin Effect (which included the themes of Profound Shift in Attention, Unity Consciousness, Increased Introspection, Positive Emotional State, and Transcendental Experience); and Persisting Aftereffects (which included the themes of Short Term Reduction in Anxiety, Persisting Insight, Assistance with Psychological Distress, and Inspired Behavioral Change). Participants maintained insights gained during their experience of psilocybin far beyond the course of the substance. This research suggests that the positive and persisting aftereffects related to the consumption of psilocybin may be useful for psychological healing and growth, and that these aftereffects should continue to be studied.Copyright Â© 2016, E-FLOW PDF NeuroQuantology. All rights reserved.",http://dx.doi.org/10.14704/nq.2016.14.2.943,2016,NeuroQuantology,14,2,285-296,NA,NA,NA
21,1451,2841,Burdick B.V. and Adinoff B.,A proposal to evaluate mechanistic efficacy of hallucinogens in addiction treatment,"Current treatments for addiction are frequently ineffective. Hallucinogenic therapy has been indicated as helpful for a range of substance use disorders, yet this approach remains understudied and publicly unavailable. It is nonetheless a promising treatment, which has significant, long-term beneficial effects with single doses and a profile characterized by general safety, low toxicity, and non-addictiveness. However, pharmacological interventions, such as hallucinogens, should not be offered if the same effects (e.g. psychological insights/mystical experiences) and outcomes (e.g. decreased drug use) could be achieved absent pharmacological intervention. To date, there have been no clinical comparisons of drug-induced altered states with non-drug-induced states for addiction treatment. We propose and then outline a clinical trial to address this gap in knowledge. The proposed design would evaluate abstinence outcomes in a population of prescription opioid abusers after exposure to one of three conditions: a drug-induced altered state using psilocybin, a non-drug-induced altered state via hyperventilation (Holotropic Breathwork), and an active placebo with niacin. The outcomes of such a study would reveal important differences in therapeutic potential by discriminating hallucinogen-dependent effects from those psychological effects resulting from altered states. Â© 2013 Informa Healthcare USA, Inc.",http://dx.doi.org/10.3109/00952990.2013.811513,2013,Am. J. Drug Alcohol Abuse,39,5,291-297,NA,NA,NA
21,2841,278,"Burdick, Brittany Vasae and Adinoff, Bryon",A proposal to evaluate mechanistic efficacy of hallucinogens in addiction treatment,"Current treatments for addiction are frequently ineffective. Hallucinogenic therapy has been indicated as helpful for a range of substance use disorders, yet this approach remains understudied and publicly unavailable. It is nonetheless a promising treatment, which has significant, long-term beneficial effects with single doses and a profile characterized by general safety, low toxicity, and non-addictiveness. However, pharmacological interventions, such as hallucinogens, should not be offered if the same effects (e.g. psychological insights/mystical experiences) and outcomes (e.g. decreased drug use) could be achieved absent pharmacological intervention. To date, there have been no clinical comparisons of drug-induced altered states with non-drug-induced states for addiction treatment. We propose and then outline a clinical trial to address this gap in knowledge. The proposed design would evaluate abstinence outcomes in a population of prescription opioid abusers after exposure to one of three conditions: a drug-induced altered state using psilocybin, a non-drug-induced altered state via hyperventilation (Holotropic Breathwork), and an active placebo with niacin. The outcomes of such a study would reveal important differences in therapeutic potential by discriminating hallucinogen-dependent effects from those psychological effects resulting from altered states. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.3109/00952990.2013.811513 and http://dx.doi.org/10.3109/00952990.2013.811513,2013,The American Journal of Drug and Alcohol Abuse,39,5,291-297,NA,NA,NA
